answer,question
Zaimağa,Eskişehir'in Sivrihisar ilçesindeki tarihi konak
Motorlu,"Otomobil, kamyon, traktör bu tür araçlardır"
Ediz hun,Genç Kızlar filmiyle Yeşilçam'a adım atan yıldız
Karaman,Anadolu'da Türkçenin ilk kez resmi dil olduğu il
Ihtimal,Bir şeyin gerçekleşme olasılığı
Element,Periyodik tabloda gösterilen madde
Refleks,Beklenmeyen harekete karşılık yapılan anlık hamle
Emektar,Aynı işi çok uzun süre yapmış kişiye denir
Çınlama,"Yankı yapma, yankılama"
Ucuz roman,Cannes'da Altın Palmiye alan Tarantino filmi
Makedonya,Milli basketbolcu Cedi Osman'ın doğduğu ülke
Steve jobs,Macintosh'un fikir babası
Harbiye,"Fatih __, Peyami Safa romanı"
Kireçtaşı,Piramitlerin yapımında en çok kullanılan taş türü
Yaban muzu,Şeker Portakalı yazarı Vasconcelos'un ilk kitabı
Otomasyon,Bir sürecin kendi kendine işlemesi
Hasankeyf,Batman'ın ünlü antik kenti
Delgeç,Delik açmaya yarayan zımba
Tereke,Mirasta hakların ve borçların toplamına verilen ad
Jorjet,"Karışık, krep dokulu bir ipek türü kumaş"
Kahire,Keops Piramidi'nin bulunduğu şehir
Römork,Motorlu araçlar tarafından çekilen taşıyıcı
Replik,Tiyatroda oyuncuların kullandığı sözler
Eskort,Önemli birine eşlik eden koruma aracı
Balkon,Odaların kapı ile çıkılan açık hava kısmı
Çivril,Beycesultan Höyüğü'nün yer aldığı Denizli ilçesi
Eczacı,Reçetede yazılı olan ilaçları satan kişi
Olumsuz,Eski dilde buna menfi denir
Porsche,Logosunda şaha kalkmış at olan Alman araba markası
Serenad,Bir Zülfü Livaneli romanı
Merdane,"Hamur açmaya yarar, uçlarında tutma yeri olur"
Stajyer,Meslek öğrenen öğrenci
Sivilce,Küçük deri kabarcığı
Uluabat,Apolyont adıyla da bilinen Bursa gölü
Enderun,Eskiden saray görevlilerinin yetiştirildiği okul
Akıncı,Kilis'te yer alan tarihi konak
Fermene,"Nakış işlemeli, yeleğe benzer bir giysi"
Diyafon,Daire ve bina kapısı arasındaki sabit telsiz
Kuyumcu,"Altın, gümüş gibi takıların satışını yapan kişi"
Dağınık,Derli toplu olmayan; düzensiz
Ballıca,Tokat'ın Pazar ilçesinde yer alan mağara
Motorin,Mazot
Kanlıca,İstanbul'un bu semtinde Mihrabat Korusu yer alır
Akyatan,Çukurova'nın en büyük lagünü
Kırmızı,Futbolcular sahadan bu kartla ihraç edilir
Reçete,Doktorların hastalar için yazdığı ilaç listesi
Kazaska,Kafkasya kökenli bir halk dansı
Munzur,Tunceli ile Erzincan arasında bulunan sıradağ
Do sesi,Ferit Edgü'nün 4 bölümden oluşan kısa öykü kitabı
Gönül dağı,Neşet Ertaş'ın ünlü bir türküsü
Charles,Fransa'da bu isimle 10 ayrı kral hüküm sürmüştür
Güvercin,Beyaz olanı barış sembolü olarak görülen kuş
Çelişkili,"Birbirini tutmayan, tutarsızlık içeren"
Son patron,F. Scott Fitzgerald'ın tamamlanmamış romanı
Süpürge,Zemin temizliğinde kullanılan alet
Tolstoy,"Savaş ve Barış, Gençlik gibi kitapların yazarı"
Detramp,Kuru sıva üzerine yapılan resim türü
Kompres,Kanayan yaraya baskı yapmak için kullanılan bez
Kanarya,Sarı renkli ötücü kuş cinsi
Çırpmak,Bir veya daha fazla malzemeyi hızlıca karıştırmak
Ayakbastı,Bir yere dışarıdan gelenden alınan vergi
Hopdediks,Oburiks ismiyle de bilinen çizgi roman karakteri
Mikroskop,Lam ve lamel bunun parçalarıdır
Abaküs,Çocuklara matematik öğreten boncuklu alet
Kayısı,Sarısı tam pişmemiş yumurta kıvamı
Gecekondu,Akşamdan sabaha yapımı tamamlanmış konut
Manşet,Voleybolda elleri birleştirerek yapılan vuruş
Balans,Denge anlamında yabancı kökenli kelime
Dubara,Tavlada iki zarın da iki gelmesi
Sonsöz,Kitapların bitimine konulan açıklama
Ereğli,Kwangjin Parkı'nın bulunduğu Konya ilçesi
Gökova,Kerme Körfezi'nin diğer adı
Şişman,Fazla kilolu kişi
Kızkulesi,İstanbul'da denizin ortasında bulunan tarihi yapı
Elif şafak,On Dakika Otuz Sekiz Saniye kitabının yazarı
Aralıksız,"Hiç durmadan, biteviye"
Bukalemun,Renk değiştirebilen omurgalı hayvan
Istiridye,Kavak mantarı olarak da bilinen yassı mantar türü
Çanakkale,Türkiye’de Güneş’in en son battığı il
Vikingler,"Orta Çağ'da yaşamış, İskandinav korsan kavim"
Şarküteri,Amelie'nin yönetmeni Jeunet'in ilk filmi
Akaryakıt,"Motorin, benzin ve türevinin genel adıdır"
Ali gürbüz,2019'da Kırkpınar'da başpehlivan olan güreşçi
Ayhan ışık,Taçsız Kral lakaplı Türk sinema oyuncusu
Narval,Kuzey Kutbu'nda yaşayan deniz gergedanı
Dağ keçisi,Yüksek yerlerde yaşayan çevik ve boynuzlu hayvan
Zar tutmak,Tavlada istenilen sayının gelmesi için hile yapmak
Battaniye,Snoopy'nin arkadaşı Linus'un sürekli taşıdığı örtü
Gün batımı,Güneşin ufukta gözden kaybolması
Zeki ökten,Çöpçüler Kralı’nın yönetmeni
Doğaçlama,O anda içten geldiği gibi yapılan rol
Gerdanlık,Değerli taş ve madenlerden yapılmış kolye
Diş macunu,Fırçaya sıkılan ağız sağlığı ve temizliği maddesi
Tatil köyü,Kasabadan küçük turistik tesis
Sismograf,Deprem ölçer
Kabristan,Ölülerin defnedildiği yer
Hayal gücü,"Düş kurabilme yetisi, muhayyile"
Dahi çocuk,Ana karakteri Jimmy Neutron olan animasyon
Çift vuruş,Futbolda endirekt atış
Ekspertiz,İkinci el araba alırken yapılan teknik kontrol
Konu komşu,"Mahalle eşrafı, civardaki topluluk"
Amerikalı,Christopher Newman'ı anlatan Henry James romanı
Mürebbiye,Eskiden çocuklara evde eğitim veren kadın
Şekerleme,Çok fazla sürmeyen uyku
Tripod,Üç ayaklı kamera sabitleyici
Sistem,Sonuca ulaştıran yöntemler bütününe verilen ad
Kapora,Teminat parası
Ben hur,11 Oscar kazanmış 1959 yapımı film
Karibu,Kanada Geyiği olarak da bilinen büyük geyik türü
Geçmiş,Di'li ve miş'li olmak üzere iki türü bulunan zaman
Berlin,Bu şehrin ortasına örülen duvar 1989'da yıkıldı
Amisos,Baruthane adıyla da bilinen Samsun tepesi
Arazöz,Yolları ve meydanları temizleyen sulama aracı
Kimyon,Köfte yapımında yaygın kullanılan bir baharat
Kimlik,"Ad, soyad, kan grubu gibi bilgileri içeren belge"
Yeşilova,İzmir'in kurulduğu Bornova'daki höyük
Çift sayı,2'ye tam bölünür
Antikacı,Tarihi değeri olan eski eşyaların tüccarı
Turfanda,"Sebze meyvenin tazesi, ilk çıkanı"
Metrobüs,Kendine özel geliş gidiş alanı olan kara taşıtı
Tükenmez,Adını uzun süre yazabilmesinden alan kalem tipi
Pastoral,Çoban yaşamını anlatan edebiyat türü
Grönland,Dünya'nın yüz ölçümü en büyük adası
Elektron,Negatif elektrik atomu
Biçimsiz,"Kendine özgü bir şekli olmayan, amorf"
Triatlon,"Bisiklet sürülen, yüzülen ve koşulan atletizm dalı"
Salıncak,İleri geri sallayan park eğlencesi
Star wars,George Lucas'ın sinema dünyasına en büyük hediyesi
Şalupa,Tek direkli büyük sandal
Parşömen,Yazı yazmak ve resim çizmek için hazırlanan deri
Ilkbahar,"Çiçeklerin açtığı, doğanın uyandığı mevsim"
Kornea,Gözün en dış tabakası
Cüzdan,Para konulan cep çantası
Deliha,Gupse Özay'ın oynadığı ünlü film serisi
Gazete,Genellikle günlük yayınlanan neşriyat
Çelebi,Karagöz oyunundaki mirasyedinin adı
Define,Gömülerek saklanmış para veya değerli eşya
Tellal,Haberi yüksek sesle ilan eden kişi
Tarçın,İç kabuğundan bir tür baharat elde edilen ağaç
Kanaat,Elinde olanla yetinme durumu
Kadran,Saatin akrep ve yelkovanı barındıran yüzü
Cezayir,Akdeniz kıyısında bir Afrika ülkesi
Ametist,Mor renkli süs taşı
Rutubet,Havadaki su buharının neden olduğu hafif ıslaklık
Dönüşüm,Gregor Samsa'nın öyküsünü anlatan Kafka romanı
Gözleme,Sacda pişirilen içi muhtelif malzemeli yufka
Palavra,"Yalan, abartılmış söz"
Kabahat,Hukukta hafif suç sayılan durum
Piramit,Firavunların anıtmezarlarına verilen ad
Danışma,Kurumların girişinde yer alan bilgi edinme masası
Rençper,Ağır işleri üstlenen tarım işçisi
Zamazingo,Adı akla gelmeyen objeyi tarif eden söz; zımbırtı
Aydıntepe,Bayburt'ta bulunan yer altı şehri
Romatizma,Kas ve eklemlerdeki ağrılı hastalıkların genel adı
Formalite,İşin resmiyete dökülme kısmı; önemsiz mecburiyet
Eskişehir,Türkiye’nin Venedik’i olarak bilinen şehir
Tırpana,Rina olarak da bilinen iri bir balık
Siyah lale,Bir Alexandre Dumas romanına ismini veren çiçek
Jetgiller,Uzay çağında geçen 60'ların ünlü çizgi dizisi
Karahayıt,Denizli'nin kırmızı su çıkan ünlü termal merkezi
Yol yordam,"Kabul görmüş davranış biçimi, usul erkan"
Yerlikaya,"Asrın güreşçisi, Hamza __"
Bağıl nem,Havadaki su buharının doyma noktasına oranı
Porsiyon,Yemek siparişinde bir veya buçuk şeklinde söylenir
Sundurma,Dış kapı ve pencerelerin üzerindeki küçük güneşlik
Monopoly,Emlakçılık yapılan kutu oyunu
Korku ağı,Stephen King'in yayımlanan ikinci romanı
Abandone,Bir boksörün maçı bırakmak zorunda kalması
Gazipaşa,Antalya'nın en doğudaki ilçesi
Elektrik,İETT kısaltmasında E harfinin temsil ettiği kelime
Tom hardy,"Mad Max, Inception ve Venom filmlerinde oynadı"
Kara veba,14. yüzyılda Avrupa'yı kırıp geçiren hastalık
Bigudi,Saç kıvırmakta kullanılan küçük silindir
Koruma,Can veya mal güvenliğini sağlayan profesyonel
Şah mat,Satrançta rakibin en önemli taşını alarak kazanmak
Menzil,Silahın etkili olduğu mesafe
Mardin,Dara Antik Kenti’nin bulunduğu il
Bordro,Maaşı ayrıntılı gösteren çizelge
Keklik,Türk Halk Müziği'nde adı sıkça geçen bir kuş
Kanepe,Birkaç kişilik geniş koltuk
Mafsal,"Kemiklerin birleştiği yer, eklem"
Koloni,Elon Musk'ın Mars'a kurmak istediği topluluk
Gemide,Serdar Akar'ın ilk uzun metrajlı filmi
Dipnot,"Sayfanın en altına düşülen ek bilgi, haşiye"
Bayrak,Bir ülkenin simgesi olarak tasarlanmış kumaş
Galeta,Fırında pişirilmiş ve kurutulmuş bir tür peksimet
Bozkır,"Sadece ot yetişen ağaçsız doğal bölge, step"
Reçine,"Ağaç budaklarının salgısı, akma"
Batman,Sembolü yarasa olan film kahramanı
Kösehoroz,Değirmendere üzerinde yer alan Bursa şelalesi
Emeklemek,Bebeğin ayağa kalkmadan ilerleyişi
Kırtasiye,"Kağıt, defter, kalem gibi şeyler satılan dükkan"
Beherglas,Deney yaparken kullanılan cam kap
Beethoven,Afacan Köpek film serisindeki köpeğin adı
Deplasman,Rakip takım stadı
Prematüre,Beklenenden önce doğan bebek
Natürmort,"Meyve, çiçek gibi nesnelerin bulunduğu tablo"
Ömer vargı,Her Şey Çok Güzel Olacak filminin yönetmeni
Mahya dağı,Yıldız Dağları'nın en yüksek noktası
Pediatri,Tıbbın bebek ve çocuklarla ilgilenen dalı
Kafatası,Beyni içinde barındıran kemik bölümü
Yalnızız,Samim'in öyküsünü anlatan Peyami Safa romanı
Dondurma,Külahta tüketilen soğuk yiyecek
Bozdoğan,İstanbul Fatih'teki su kemerinin adı
Göz alıcı,Güzelliği ışığa benzeten bir tanımlama
Günaydın,Sabah söylenen selamlama kelimesi
Uzuneşek,Çattı pattı kaç attı diye sorulan sokak oyunu
Zıtlık,"İki şeyin birbirine karşıt olma durumu, kontrast"
Semiha,"İlk kadın opera sanatçımız, __ Berksoy"
Nebati,Bugünkü Ürdün'de antik çağlarda yaşamış krallık
Halhal,"Yazı çağrıştıran, kadınların ayak bileği aksesuarı"
Çipura,Karagöz balığına benzeyen pembemsi yanaklı balık
Isınma,Spor öncesi vücudu hazır hale getirme süreci
Plevne,Gazi Osman Paşa ile özdeşleşmiş Bulgaristan şehri
Galata,"528 yılında yapılan, İstanbul'un sembol kulesi"
Mızrak,Uzun ve ucu sivri metalden yapılmış eski bir silah
Defile,Mankenlerin yaptığı moda gösterisi
Rokfor,Fransa'nın içi küflü peynir çeşidi
Sincap,Ağaçta yaşayan ve meşe palamutu yiyen kemirgen
Kral kızı,Yozgat'ın Sarıkaya ilçesinde yer alan tarihi hamam
Sipahi,Osmanlı'da atlı asker
Komite,Bir konuda inceleme yapmak için kurulan ekip
Tundra,Yazı çok kısa süren kutup iklimi
Europa,Bir kıtaya adını veren mitolojik prenses
Inaltı,Sinop'un Ayancık ilçesinde yer alan mağara
Kalkan,Kılıç ya da oka karşı kişisel savunma aracı
Harika,"Hayranlık uyandıracak kadar güzel, kusursuz"
Akarsu,Bir yatak içinde eğim boyunca hareket eden su
Grafit,Kurşun kalem yapımında kullanılan doğal karbon
Devriye,Kolluk kuvvetlerinin güvenlik turu
Cilalı,Tarih öncesi dönemdeki ikinci taş devri
Tencere,"Atasözüne göre, yuvarlanıp kapağını bulan kap"
Hoşgörü,"Anlayışlı olma, müsamaha"
Buharlı,Basınçlı hava yardımı ile çalışan lokomotif
Bilezik,Bileğe takılan süs eşyası
Balmumu,Marie Tussaud'un heykellerini yaptığı malzeme
Gelyana,Hakkari'de yer alan buzul göl
Koridor,Evde odaları birbirine bağlayan aralık
Yaş günü,Üzerinde mum bulunan pastayla kutlanır
Özçekim,Selfie sözcüğünün TDK'daki karşılığı
Trabzon,"Hamsi, tereyağı ve Temel'i ile meşhur il"
Amazonlar,Eski çağların efsanevi savaşçı kadınları
Patojen,Hücre yapısını bozan mikroorganizma
Ilk yardım,Ani travmalarda olay yerinde yapılan müdahale
Dikkafalı,Bildiğinden şaşmayan inatçı kişi
Vakıfbank,Guinness rekorlar kitabındaki Türk voleybol takımı
Yedi kadın,John Ford'un yönettiği son film
Porto riko,Atlas Okyanusu'nun en derin noktası olan çukur
Orgeneral,En kıdemli kara ve hava subayı
Içli köfte,"Dışı bulgur, içi kıyma olan Güneydoğu yemeği"
Rezervuar,Tuvaletteki atıkları temizleyen su tankı
Tahir paşa,Aydın'ın Efeler ilçesinde yer alan tarihi konak
Eksik şiir,Sezen Aksu'nun şarkı sözlerinin toplandığı kitap
Ultrason,Bebeğin ilk fotoğrafını çeken cihaz
Malikane,"Saray yavrusu olarak da adlandırılan, ihtişamlı ev"
Dalgalar,Virginia Woolf'un deneysel romanı
El feneri,Karanlıkta yolu görmek için kullanılan alet
Mübalağa,"Bir şeyi olduğundan daha büyük gösterme, abartı"
Tazminat,Belirli bir zarara karşılık ödenen para
Arjantin,Tango dansı ile ünlü Güney Amerika ülkesi
Kamyon,Ağır yüklerin taşınmasında kullanılan kara taşıtı
Pergel,Daire çizme gereci
Meşale,Olimpiyat ateşi bunun üzerinde yanar
Lateks,Bazı bitkilerin süt görünümlü öz suyu
Kösele,"Ayakkabı, çanta yapımında kullanılan hayvan derisi"
Dipçik,Tüfeğin omuza yaslanan bölümü
Geçici,Kalıcı olmayan
Demlik,Çay yaparken kullanılan üstü kapaklı nesne
Avukat,"Haksızlıkta hakkımızı savunur, adalet için çalışır"
Carrey,"Maske filminin yıldızı, Jim __"
Bankiz,Kutup denizlerinde oluşan buz kütlesi
Kaşağı,Atların tüylerini taramaya yarayan tarak
Buğday,Ekmeğin ham maddesi
Otobüs,Yolcu taşıyan büyük kara taşıtı
Kodeks,Tescilli ilaç içerikleri kılavuzu
Soygaz,"Helyum, neon, argon gibi asal element sınıfı"
Üzengi,Ata binmek için ayağın basıldığı yer
Isim şehir,Aynı harfle başlayan kelimeler bulunan oyun
Gutenberg,"Modern matbaanın babası sayılan mucit, Johannes __"
Tezgah,Mağazalarda satıcının önündeki uzun masa
Bahtı açık,"Her açıdan işleri yolunda giden, şanslı"
Konteyner,Apartman önlerindeki tekerlekli çöp sandığı
Demir yolu,Tren ve tramvay bunun üstünde gider
Ahmed arif,“Hasretinden prangalar eskittim” dizesinin sahibi
Zonguldak,Çaycuma yoğurdu ile meşhur olan il
Ketenpere,Argoda dolandırıcılık
Kruvaze,Ön parçaları birbirinin üstüne gelen ceket
Tebeşir,Kara tahtaya yazı yazmaya yarayan kireç parçası
Burundi,Nil Nehri'nin doğduğu Afrika ülkesi
Emmoğlu,Ferdi Tayfur'un 1992 çıkışlı ünlü bir şarkısı
Alakart,Restoranlarda sunulan bol seçenekli menü
Gülhane,İstanbul'un Fatih ilçesinde yer alan ünlü park
Alışık,Atilla İlhan'ın ünlü oyuncu eniştesinin soyismi
Püskül,Mısırın ucundaki saçak
Planya,Marangozların kullandığı motorlu rende
Meddah,Osmanlı döneminde bir gösteri sanatçısı
Klasik,"Her zaman için beğenilen, örnek olan yapıt"
Karabasan,"Kişiye sıkıntılı anlar yaşatan düş, kabus"
Hava atışı,Basketbol hakeminin oyunu başlatma hareketi
Gemlik,Zeytini ile tanınan Bursa ilçesi
Manhattan,New York'taki ünlü yarımada
Kadayıf,İnce teller şeklinde olan şerbetli tatlı
Devoniyen,Paleozoik zamanın dördüncü dönemi
Murtaza,Bir bekçinin öyküsünü anlatan Orhan Kemal romanı
Tıpatıp,"Tepeden tırnağa aynı, bütünüyle aynı biçimde"
Taşikardi,Kalp atış hızının çok artmasına bağlı çarpıntı
Yenihisar,Aydın'ın Didim ilçesinin eski adı
Epidermis,Ölü hücrelerin yer aldığı cilt tabakası
Kırlangıç,"Küçük, kuyruğu çatal, göçebe kuş türü"
Sis ve gece,Turgut Yasalar'ın filme çektiği Ahmet Ümit romanı
Dirseklik,Sert zemin yaralanmalarına karşı kola takılır
Beyanname,Vergi yükümlülerinin devlete verdiği bildirge
Tarzan,Ormanda büyüyen çocuğu anlatan Disney filmi
Ataman,Kazaklarda başbuğ
Beyran,Gaziantep'e özgü etli bir çorba türü
Bağlaç,İki önermeyi sıralamaya yarayan kelime
Fuat güner,Müzik grubu MFÖ'nün bir üyesi
Istifa,Kişinin kendi rızasıyla işten ayrılması
Anadol,"İlk yerli, seri üretim araba"
Aklı selim,"Doğru, mantıklı davranan, sağduyulu kimse"
Hijyen,Sağlık amaçlı temizlik tedbirlerinin genel adı
Kullanıcı,Bir uygulama ya da yazılımdan faydalanan kişi
Aladağlar,"Kayseri, Niğde ve Adana içinde yer alan milli park"
Karluklar,Diğer adı Üç Oğuz olan eski Türk boyu
Lokomotif,Tren vagonlarını çeken makine
Değişken,Matematikte farklı sayı değerleri alabilen nicelik
Antiviral,Virüslere karşı etkili
Kastabala,Osmaniye'de yer alan antik kent
Üretimevi,"İmalathane, fabrika"
El arabası,Motorsuz inşaat taşıtı
Mezarlık,Halk dilindeki adı tahtalıköydür
Kubbealtı,Topkapı Sarayı'nda vezirlerin toplandığı alan
Ev karadır,Füruğ Ferruhzad'ın yönettiği ünlü kısa belgesel
Ivırzıvır,Önemsiz eşyalar için kullanılan bir söz
Ishal olma,Bağırsakların bozulmasıyla oluşan durum
Çöp gibi,"Çok zayıf, ince kişiler için kullanılan bir deyim"
Görüntü,Televizyonu radyodan ayıran yayın bileşeni
Derdest,"Kaçak birini yakalama, tutuklama"
Nekahet,Askerlik sonrası sivile uyum sağlama süreci
Parasız,Herhangi bir ücret ödenmesi gerekmeyen; bedava
Hatıra,Gidenlerden geriye kalan anı
Düz yazı,"Roman, makale gibi türlerin imla şekli"
Kaçıklar,"Tatlı __, doksanların Mehmet Ali Erbil dizisi"
Feshetme,Bir sözleşmeyi süresinden önce sonlandırma
Mukavele,Futbolcular bunu imzalayınca transfer tamamlanır
Yazlıkçı,Tatil dönemi için satın aldığı evde oturan kişi
Belirgin,"Göze görünen, sarih"
Balistik,Ateşli cinayet silahlarını bu birim inceler
Bici bici,"Gülsuyu, muhallebi, buz ve pudradan oluşan tatlı"
Hapsetme,"Birini hücreye ya da kafese koyup, orada tutma"
Kral yolu,Efes’ten Mezopotamya'ya kadar uzanan ticaret yolu
Habersiz,"Nasıl Geçti __, klasikleşmiş bir TSM şarkısı"
Aktivite,Bir kurum tarafından yapılan etkinlik
Hong kong,"Çin özerk bölgesi, 1997'ye dek İngiliz kolonisiydi"
Imaetmek,Dolaylı yoldan anlatmak
Gücenme,Bir davranışa ya da söze kırılma
Aranjör,Müziklerin düzenlemesini yapan kişi
Uzanmak,Yatağa ya da koltuğa yatarak yerleşmek
Köpoğlu,"Bulgaristan kökenli, yoğurtlu patlıcan mezesi"
Lambada,Nostaljik müziğiyle meşhur Güney Amerika dansı
Vakumlu,Tüm havası alınmış
Ayrancı,Aşağı ve Yukarı diye ikiye bölünen Ankara semti
Elilanı,"Sokakta dağıtılan, kağıda basılı duyuru"
Sarı bez,Adı mutfak temizliğiyle özdeşleşen renkli kumaş
Edilgin,"Faal olmayan, pasif"
Baş başa,Sırf iki kişi beraberce anlamında bir deyim
Inzibat,Miğferinde AS.İZ yazan askeri polis
Primat,Tüm maymun türlerini kapsayan memeli takımı
Taahhüt,Bir işi veya vazifeyi üstlenme
Askıntı,Peşinden ayrılmayıp rahatsızlık veren kişi
Efendi,"Kendisine yakışan davranışı sergileyen, ağırbaşlı"
Feride,Emel Sayın'ın aynı isimli filmi ve şarkısı
Dolama,Tırnak diplerinde oluşan iltihap
Katran,"Suda erimeyen, siyah ve akıcı bir madde"
Miktar,"Bir şeyin ölçüsü, sayılabilir durumu"
Icazet,Bir kişiden onay veya müsade alınması
Ateşçi,"Ocakların çalışmasından sorumlu kişi, kazancı"
Samimi,"Sizli bizli değil, senli benli konuşan"
Örtbas,İşlenen suçun üstünü kapatma
Forvet,Rakip kaleye en yakın mevkide oynayan futbolcu
Özenli,"Dikkat ederek yapılmış, itinalı"
Mozole,Görkemli ve büyük anıt mezar
Inziva,Sosyal yaşamdan soyutlanma
Adalar,"İstanbul'un, çevresi suyla çevrili ilçesi"
Biftek,Dilim şeklinde hazırlanmış et parçası
Ikebana,Japonlara özgü çiçek düzenleme sanatı
Adakale,Romanya'da Türklerin yaşadığı yerleşim merkezi
Takunya,Bir tür tahta tabanlı terlik
Cesaret,"Korkulduğu halde bir işi yapma yetisi, yüreklilik"
Komutan,Bir askeri birliği yöneten rütbeli kimse
Enginar,Kalbi olan sebze
Otopark,Araçların para karşılığı emanet edildikleri yer
Taze kan,Gruba yeni katılan kişi için kullanılır
Umur bugay,Bizimkiler dizisinin senaristi emektar sinemacı
Besleyici,Protein ya da karbonhidrat yönünden zengin gıda
Düşmanlık,Bir kişiye husumet besleme hali
Vefa borcu,Yeşim Salkım'ın Türk sanat müziği albümü
Gözetleme,Polisin şüpheli bir yeri uzaktan izlemesi; erkete
Kaynatmak,Suyu 100 derece sıcaklığa getirmek
Derin mavi,Garry Kasparov'u satrançta yenen bilgisayar
Sekiz mart,Dünya Kadınlar Günü'nün tarihi
Çizgi film,Çocukların izlemekten en çok hoşlandığı yapım türü
Inandırma,"Birini, bir şeyin doğruluğuna ikna etme"
Yaylanmak,"Argoda ortamı terk etmek, çekip gitmek"
Telsiz,Polislerin haberleşmek için kullandıkları cihaz
Tevazu,"Kendini büyük göstermeme, mütevazılık"
Bağdat,Sora sora __ bulunur
Firari,Kaçak askere denir
Ayakçı,Adını yürüme uzvundan alan hizmetçi
Sururi,"Sokak Kızı Irma ile bilinen tiyatrocu, Gülriz __"
Eşelek,Elmanın yendikten sonra kalan çekirdekli kısmı
Altıpas,Futbolda kale alanı
Tecrit,Mahkumu diğerlerinden ayırıp tek başına tutma
Riayet,Bir kurala veya kanuna göre davranma; uyma
Cezaevi,Hapishane
Gülücük,Çocukların saçtığı tebessüm
Beytepe,Hacettepe Üniversitesi'nin en büyük kampüsü
Mudanya,Kurtuluş Savaşı'nı bitiren ateşkes antlaşması
Ajanlık,"Gizlice başkası adına çalışma, casusluk"
Boloğur,"Acemi Cadı dizisiyle ünlenen oyuncu, Merve __"
Tülbent,Yoğurt süzmek için kullanılan ince hafif bez
Garabet,"Acayiplik, aykırılık"
Panyalı,Basket potasına çarptırarak yapılan atış
Inkılap,"Toplumsal kalkınmayı amaçlayan devrim, reform"
Iskarta,Değer kaybına uğramış ticari mal
Bin yaşa,"""Ömrün uzun olsun"" anlamındaki mutluluk sözü"
Hisseli,Haldun Dormen'in oyunu; __ Harikalar Kumpanyası
Maddeci,Mala mülke çok kıymet veren; felsefede materyalist
Cimrilik,Parayı harcamaya kıyamamak; pintilik
Çörek otu,Susamla birlikte börek ve poğaçaya ekilir
Vampir,"Güneş ışığında kalamayan, insan kanı emen hortlak"
Onkoloji,Kanseri araştıran bilim dalı
Süleyman,Kurtlar Vadisi dizisinin Çakır soyadlı karakteri
Kapkaççı,Birinin bir şeyini alıp hızla uzaklaşan kimse
Müzisyen,Tarkan gibi insanların genel titri
Bungalov,Tahtadan yapılmış olan tek katlı küçük ev
Şarampol,"Kazada yoldan çıkan araçlar, buraya yuvarlanır"
Baş etmek,Galebe çalmak; güç yetirmek
Komplike,Anlaşılması zor ve karışık olan şey
Itibarlı,Saygın
Fethetme,Bir ülkeyi ya da şehri ele geçirme
Anıtsal,Sanatlı kelimesinin anagramı
Teksayı,İkiye tam bölünemeyen rakam
Uzunluk,Ölçü birimi metredir
Menfaat,Bir işten sağlanan çıkar
Vahamet,Zorluk ve tehlike içeren durum
Isimdeş,Aynı ada sahip kişilerden her biri; adaş
Şifreli,Üzerinde rakamlı kilit olan kasa  türü
Bezelye,"Ufak yeşil toplar halinde yetişen, lifli sebze"
Peşpeşe,"Ardı sıra, art arda"
Geçkalmak,Bir yere zamanında yetişememek
Kirliçıkı,Çok miktarda gizli saklı parası olan
Boyun bağı,Kravatın halk ağzındaki adı
Yavaşlama,"Tamamen durmaksızın, hızı bir miktar azaltma"
Hıncahınç,Bir yerin ağzına kadar dolu olduğunu ifade eden söz
Gafyapmak,Pot kırmak
Dekoratif,Bir yeri süslemeye elverişli olan
Çalkalama,Kabın içindekileri karıştırmak için sert şekilde sallama
Uğur yücel,Hırsız Polis dizisinin Aksak karakteri
Hoşgeldin,Funda Arar'ın 2015 çıkışlı çok satan albümü
Ebediuyku,Ölüm anlamına gelen bir söz
Depresyon,"Üzüntülü, isteksiz, çöküntüde olma durumu"
Isteka,Bilardoda toplara vurmakta kullanılan temel araç
Bartın,Amasra bu ilin ilçesidir
Meblağ,"Paranın toplam ederi, tutar"
Keşkül,"Osmanlı’dan günümüze kadar gelen, sütlü tatlı türü"
Dansöz,Sibel Can'ın müziğe geçmeden önceki mesleği
Siccin,Altıncısı 2019'da çekilen Türk korku filmi serisi
Vizite,Doktorun hastane içinde yaptığı hasta turu
Frapan,Güzelliği ve giyimiyle dikkat çeken
Haydut,"Yol kesen, soygun yapan azılı suçlu"
Eyalet,Devlet içinde özerkliği olan idari birim
Yelken,Üçgen biçimli kumaş rüzgar yakalayıcı
Bitkin,"Güçten düşmüş, takatsiz kalmış"
Işaret,Şerait kelimesinin anagramı
Sansür,Yayın ve eserlerin devletçe denetlenmesi
Çöplük,Dağınık ergen odasına yapılan anne yakıştırması
Unutma,Bir şeyi hatırlamama
Gündem,Bir toplantıda konuşulacak konuların bütünü
Tetkik,"İnceleme, araştırma anlamına gelen söz"
Kauçuk,Otomobil lastiğinin hammaddesi
Yetmiş,Söylentiye göre işin bittiği yaş
Kıymet,"Bir ürünün, eşyanın sahip olduğu değer"
Akkale,"Belkıs __, Türk Halk Müziği sanatçısı"
Çırçır,Pamuğu tohumundan kurtarmakta kullanılan alet
Yatırım,Bir iş için kazanç amaçlı yapılan para aktarımı
Budamak,Ağacın dallarını kısaltmak
Kavrama,Bir şeyi sıkıca tutma
