answer,kategori,question
Cesaret,,Acı ve tehlikeyle yüzleşme iradesi
Şekerpare,,Şerbetli bir Türk tatlısı; tatlı bir kayısı türü
Çalakalem,,Gelişigüzel yazılmış yazı
Elimsende,,Ebelemece oyunu
Ağaç olmak,,Birisini ayakta çok fazla beklemek anlamında deyim
Kaportacı,,Araçlardaki göçükleri düzelten tamirci
Beyefendi,,"Erkekler için kullanılan, saygı bildiren bir hitap"
Potpuri,,Sevilen eserlerden oluşan derleme şarkı
Bileşik,,Kimyasal tepkime sonucu oluşan madde
Anduril,,Yüzüklerin Efendisi'nde Aragorn'un kılıcı
Cakarta,,Endonezya'nın başkenti
Simitçi,,Susamlı halka çörek satan kişi
Turnike,,Basketbolda çok sık kullanılan bir atış tekniği
Sipariş,,Bir mağazadan ürün ısmarlama
Liyakat,,Bir kişinin bir işe uygunluk durumu
Aceleci,,"Çabuk davranan, işi bir an önce bitirmek isteyen"
Anahtar,,Elektrik devrelerinde açma kapama düğmesi
Çırağan,,İstanbul Ortaköy'de bulunan saray
Muşamba,,Su geçirmez bez
Merinos,,Yünü kıymetli bir koyun türü
Kraliçe,,Monarşide ülkeyi yöneten kadın
Otopark,,Araç misafirhanesi
Ürtiker,,Deri döküntüsü yapan alerjik hastalık
Şüpheli,,Suç işlediği iddia edilen kişi
Otorite,,"İşinde söz sahibi olmuş, sözü kabul gören kişi"
Heyecan,,"Geçici adrenalin patlaması, coşku"
Menteşe,,Mobilya kapaklarının açılıp kapanmasını sağlar
Kavurma,,Pişirildikten sonra dondurulup saklanan et
Yasa dışı,,"Kanunlarda yeri olmayan, hukuka aykırı"
Yasemen,,"Zeki Müren şarkısı, Bir Demet __"
Höşmerim,,Balıkesir'e özgü bir tür peynir tatlısı
Istişare,,Bir konuyla ilgili yapılan fikir alışverişi
Debriyaj,,Otomatik vites araçlarda olmayan pedal
Kurusıkı,,İçinde sadece barut bulunan tabanca
Internet,,Dünyayı birbirine bağlayan sanal ağ
Endokrin,,İç salgı
Burak kut,,90'larda Benimle Oynama parçasıyla ünlenen şarkıcı
Antikacı,,Eski dönemlere ait eserleri alıp satar
Kervan,,Eskiden develerle nakliyat yapan kafile
Şamata,,"Haldun Taner oyunu, Ay Işığında __"
Çaylak,,Bir işte deneyimsiz olan kimse
Nedime,,Düğün sürecinde geline yardım eden kadın
Paspas,,Daire kapısının önüne konur
Sfenks,,"Kadın başlı, aslan vücutlu Mısır heykeli"
Kaykay,,İtme gücüyle ulaşım sağlayan denge tahtası
Kalkan,,Genelde Karadeniz diplerinde bulunan düğmeli balık
Louvre,,Mona Lisa tablosunun sergilendiği müze
Amasra,,Fatih'in Çeşm-i Cihan diye betimlediği ilçe
Fosfor,,"Karanlıkta ışık yayan, zehirli bir element"
Bulgur,,Buğdayın kaynayıp kurutulduktan sonraki hali
Alfred,,Batman'in sadık hizmetçisi
Muhtar,,Köy ve mahallede yasal işler için seçilmiş kişi
Orkide,,Salep yapımında hammadde olarak kullanılan çiçek
Akıntı,,Grip ve nezle durumunda genizde olur
Rekortmen,,Bir spor dalında en iyi dereceyi yapan kimse
Anakronik,,"Tarihi bir olayda, o tarihle ilgisiz ögeyi niteler"
Hacivat,,Gölge oyununda başrolü Karagöz ile paylaşır
Ezcümle,,Sözün özü demek olan kelime
Walkman,,Sony tarafından geliştirilen portatif kasetçalar
Tencere,,Yemek yapma gereci
Sıkıcı,,Eğlendirmeyen; harcanan vakte değmeyen
Atkuyruğu,,Bir saç toplama modeli
Dönüşüm,,Franz Kafka'nın ünlü bir romanı
Bayrak,,Törenle göndere çekilir
Piyade,,Yaya olarak savaşan askerlerin oluşturduğu sınıf
Safran,,Yemeğe sarı renk veren pahalı bir baharat
Nekropol,,Arkeolojik şehirlerde yer alan mezarlık bölgesi
Replik,,Oyuncunun söylediği cümle ve sözler
Kangal,,Sivas'a özgü bir köpek cinsi
Sertifika,,Kursun sonunda verilen belge
Maliye,,Devletin gelir gider işlerini yöneten kurum
Demode,,Eskiden popüler olan ama bugün beğenilmeyen giysi
Jandarma,,Askeri kolluk gücü
Başlangıç,,"Inception, Türkiye'de bu isimle vizyona girdi"
Kapris,,"Düşüncesizce ve huysuzca istek, davranış"
Künefe,,Peynir ve kadayıfla yapılan geleneksel tatlı
Kurbağa,,"Göl, dere ve bataklıklarda yaşayan bir hayvan"
Alabora,,Devrilecek gibi yan yatmış geminin durumu
Çağatay,,Cengiz Han'ın ikinci oğlunun adını taşıyan hanlık
Esmeray,,Unutama Beni şarkısıyla bilinen sanatçı
Kartepe,,Kocaeli'deki kayak merkezi
Tabanca,,"Kolay taşınabilen, hafif ve küçük silah"
Senaryo,,Bir filmin yazılı metni
Sır küpü,,"Gizli çok şey bilen, ama kimseye söylemeyen kişi"
Nilüfer,,"Su üzerinde yüzen, geniş yapraklı bitki"
Günberi,,Gezegenimizin Güneş'e en yakın olduğu nokta
Arkadaş,,Hayatta birbirine destek olan kişilerden her biri
Saylak,,"Şahsiyet dizisinin yönetmeni, Onur __"
Matkap,,Duvarda delik açmaya yarayan alet
Albedo,,Bir gök cisminin Güneş ışığını yansıtma oranı
Sümela,,Trabzon'da bulunan tarihi manastır
Lojman,,Devlet tarafından memurlara tahsis edilen ev
Podyum,,Defile yapılan sahne
Trafik,,Şehir hayatının yollarda geçen kısmı
Fındık,,Nutella'nın ham maddesi olan yemiş
Alaşım,,Birden fazla metalin birleşmesiyle oluşan metal
Pufböreği,,"Yağda kızartılan, yastık biçimli dolgulu hamur işi"
Gulyabani,,Anadolu kültüründe karanlıkta görünen dev hortlak
Yerebatan,,İstanbul Fatih'teki tarihi sarnıcın adı
Birikinti,,Yağmur sonrası yerde kalan küçük su gölcüğü
Çoklu priz,,Birden fazla fiş takabilmemizi sağlayan alet
Endonezya,,17 binden çok adadan oluşan Güneydoğu Asya ülkesi
Beethoven,,"Ludwig van __, ünlü klasik müzik bestecisi"
Kırtasiye,,"Defter, kalem gibi malzemelerin satıldığı dükkan"
Ezogelin,,"Kırmızı mercimek, pirinç ve bulgurla yapılan çorba"
Toptancı,,Perakendecilere mal satan tüccar
Nevresim,,Yorgana geçirilen kılıf
Kaydırak,,Çocuk parklarının inişli oyuncağı
Arapsaçı,,Funda Arar'ın da seslendirdiği Erkin Koray şarkısı
Manavgat,,Aynı adlı akarsuyu ve şelalesi olan Antalya ilçesi
Gergedan,,"Boynuzlu, ağır ve iri bir sıcak iklim hayvanı"
Diyafram,,Göğüs ve karın arasındaki kas
Bozuşmak,,Biriyle yaşanan tartışma sonrası aranın açılması
Orhan veli,,Güzel Havalar şiirinin yazarı
Fötr şapka,,"Tepesi katlamalı, kenarları yayvan başlık"
Efervesan,,Suya atıldığında köpürüp eriyen ilaç
Kış uykusu,,Ayıların birkaç ay süren şekerlemesi
Küçük ağa,,Tarık Buğra'nın dizisi de çekilen eseri
Sancaktar,,Birliği temsil eden bayrağı taşıyan asker
Büyükelçi,,Bir ülkenin diğer bir ülkedeki en üst temsilcisi
Yarışmacı,,Bir müsabakaya katılanlardan her biri
Altimetre,,Yüksekliği ölçmeye yarayan ölçü aleti
Mayhoş,,Ekşimtırak
Jaluzi,,Şerit biçiminde metal ya da ahşap perde
Rövanş,,Aynı rakiple oynanan ikinci oyun
Format,,İşletim sistemini silip yine kurarak yapılan işlem
Içtima,,Askerlikte yoklama toplantısı
Çiftçi,,Tarımla uğraşanların genel adı
Şibumi,,Trevanian'ın ünlü romanı
Kadran,,Saat ve pusulada yazı ve rakam bulunan düzlem
Athena,,Gökhan Özoğuz'un solisti olduğu grup
Samosa,,"Patatesle yapılan, Hindistan'a özgü börek"
Paydos,,Mesainin bittiğini ifade eden kelime
Rumeli,,Trakya'nın eski adı
Lehtar,,Bir senette yazan ödemeyi alacak kişi
Kanada,,Niagara Şelalesi bu ülkeden de görülür
Böbrek,,Kanın içindeki zararlı maddeleri süzen organ
Akbaba,,"İri, yırtıcı ve leş yiyici bir kuş"
Yabani,,Evcil olmayan hayvan veya bitki
Mazhar,,"MFÖ grubunun solisti, __ Alanson"
Belediye,,Emlak vergisini bu kurum tahsil eder
Çember,,Tam yuvarlak geometrik cisim
Acıbadem,,Kurabiyesi yapılan faydalı bir yemiş
Gelinlik,,Evlenen kadının giydiği beyaz elbise
Bozburun,,Marmaris'e bağlı ünlü bir tatil beldesi
Günaydın,,Uyanınca söylenir
Bal arısı,,Tatlı bir besin üreten hayvan
Oluk oluk,,Çok akan sıvıyı tarifte kullanılan ikileme
Floresan,,Aydınlatma için kullanılan bir lamba türü
Güzergah,,Toplu taşıma araçlarının takip ettiği rota
Pankreas,,Sindirime yardımcı olan büyük salgı bezi
Kitapsız,,"__ büyüyen çocuk, susuz büyüyen ağaca benzer"
Tüketim,,Üretilen şeylerin kullanılması
Realist,,"İyimser veya kötümser olmayan, gerçekçi"
Maskara,,Kirpikleri daha uzun göstermeye yarayan boya
Pozitif,,Negatif karşıtı
Gülümse,,1991 yılında çıkan Sezen Aksu albümü
Kiralık,,"Yakup Kadri Karaosmanoğlu eseri, __ Konak"
Beşamel,,Lazanya gibi fırın yemeklerine eklenen sütlü sos
Atacama,,"Şili'de bulunan dünyanın en kurak, sıcak çölü"
Akşamüstü,,İkindi ile gün batımı arasındaki zaman dilimi
Randevu,,Doktora muayeneye gitmeden önce alınır
Natürmort,,Konusu cansız varlıklar olan resim
Ziyafet,,Önemli misafirler için kurulmuş olan büyük sofra
Kompresör,,Hava basan makine
Böğürtlen,,Ahududunun koyu renklisi gibi görünen meyve
Korteks,,Beyni kaplayan gri zar
Dila hanım,,1977 yapımı Türkan Şoray ve Kadir İnanır filmi
Adriyatik,,İtalya ile Balkanlar arasındaki deniz
Kleopatra,,Antik Mısır'ın son kraliçesi
Balıklama,,Yüzücülerin suya atlayış biçimi
Mikroskop,,Gözle görülmeyecek kadar küçük canlıları gösterir
Tekzip,,Gazetede yanlış haber sonrası çıkan düzeltme
Halhal,,Ayak bileği takısı
Dinamo,,Mekanik gücü elektrik enerjisine dönüştüren aygıt
Hortum,,Kendi etrafında dönerek hareket eden yıkıcı rüzgar
Stepne,,Arabalarda yedek lastik
Hellim,,Kıbrıs'a özgü bir peynir türü
Kuşlar,,Hitchcock'un 1963'te yönettiği gerilim filmi
Epilog,,Tiyatroda oyunu bağlamak için söylenen son sözler
Barbun,,Tekire benzeyen kırmızı balık türü
Kapsül,,Kimi ilaçların etrafını saran jelatin kap
Amasya,,Cumhuriyetin temellerinin atıldığı genelge
Arabesk,,1988 yapımı popüler Müjde Ar ve Şener Şen filmi
Casper,,Sevimli bir hayaletin olduğu çizgi film
Işitme,,Beş duyumuzdan biri; duyma
Bozüyük,,Bilecik'in merkezi kadar nüfusa sahip ilçesi
Kanguru,,Avustralya kökenli keseli bir hayvan
Gırnata,,Klarnet de denilen üflemeli çalgı
Müsaade,,Bir iş için istenen izin
Pastane,,"Kurabiye, poğaça gibi yiyecekler satılan dükkan"
Ipek ongun,,Bir Genç Kızın Gizli Defteri serisinin yazarı
Tutumlu,,Parasını idareli kullanan
Ortaklaşa,,"Beraberce, hep birlikte"
Koçaklama,,Konusu savaş ve kahramanlık olan halk şiiri türü
Kapadokya,,Özgür atlar ülkesi
Amerikano,,Küt de denilen bir iskambil oyunu
Atardamar,,En büyüğüne aort denir
Gastronom,,"İyi yemekten anlayan, gurme"
Barfiks,,Bir olimpik jimnastik aleti
Ikametgah,,Oturulan adresi gösteren belge
Mareşal,,Askerlikte en üst rütbe
Harçlık,,Ebeveynin çocuğuna verdiği para
Figüran,,Tiyatro ve sinemada sözü olmayan oyuncu
Iğneada,,Kırklareli sahilinde turistik bir yerleşim yeri
Anayasa,,En temel kanunlar bütünü
Bergama,,Berlin Müzesi'ndeki Zeus Sunağı'nın orijinal yeri
Zeyilname,,Poliçeye ilave olarak hazırlanan belge
Hititolog,,Eti uygarlığını inceleyen bilim insanı
Kırlangıç,,Genelde 17 Ekim'de başlayan fırtına
Yansıtıcı,,Işığın yönünü değiştirmek için kullanılan levha
Biyografi,,"Edebiyatta ve sinemada bir tür, yaşam öyküsü"
Suskunlar,,Aslı Enver'in oynadığı 2012 yapımı dizi
Gelin başı,,Evlenecek kadına kuaförde yapılan saç
Ağırbaşlı,,"Olgun, vakur ve sakin kimse"
Hıçkırık,,Korkunca ya da su içince geçtiğine inanılır
Davlumbaz,,Dumanı ve kokuyu toplayıp bacaya veren araç
Eleştiri,,Bir kişinin doğru ve yanlış yönlerini tenkit etme
Hollanda,,Yer değirmenleriyle ünlü Avrupa ülkesi
Potasyum,,Simgesi K olan element
Ev sahibi,,Konuklarını hoş geldiniz diye karşılar
Ilkbahar,,Japonya'da kiraz çiçeği açınca başlayan mevsim
Lanetler,,"Mezopotamya Üçlemesi'nin son oyunu, Geyikler __"
Karnaval,,Rio de Janeiro'nun ünlü yıllık eğlencesi
Büyükayı,,Kutup Yıldızı'nı bulmakta bu takım kullanılır
Kozmetik,,Cilt bakım ve makyaj ürünlerinin genel adı
Milenyum,,Bin yıla eşit zaman birimi
Ali ihsan,,"__ Varol, Kelime Oyunu'nun sunucusu"
Kuraklık,,Uzun süre yağmur yağmaması sonucu oluşan durum
Başyapıt,,Bir sanatçının en önemli eserinin tanımlaması
Kemirgen,,"Fare, tavşan gibi keskin dişlilerin ortak adı"
Saksafon,,Pek çok türü bulunan üflemeli bir müzik aleti
Direktör,,"Yönetmen, yönetici"
Dondurma,,"Kornet, helva arası ya da çubukta yenir"
Pansuman,,"Yaraya bakım yapma, temizleme işlemi"
Şifonyer,,Çekmeceli çamaşır dolabı
Kreasyon,,Bir modacının sezon için tasarladığı ürünler
Köşebent,,L biçimindeki çelik yapı ürünlerinin genel adı
Gardırop,,Elbise dolabı
Pergamon,,Bergama'da bulunan antik kent
Kapıkule,,Türkiye ile Bulgaristan arasındaki sınır kapısı
Memleket,,İnsanın evim dediği toprak parçası
Kapağını,,"Tencere yuvarlanmış, __ bulmuş"
Yuvarlak,,Daire biçiminde olan
Çift hata,,Teniste üst üste iki kez başarısız servis atma
Parçacık,,Atomaltı cisimlerin ortak adı
Presley,,"Kral lakaplı, ABD'li müzisyen, Elvis __"
Vazelin,,Cilt kuruluğunu önleyen yağlı bir merhem
Emisyon,,Merkez Bankası'nın piyasaya para sürme işlemi
Negatif,,Pozitif karşıtı
Klakson,,Korna
Ada çayı,,İçilen ve tütsü olarak da yakılan şifalı bir bitki
Karaman,,Koyunu ile meşhur İç Anadolu şehri
Çibörek,,Kızarmış hamur içerisinde kıyma olan Tatar yemeği
Zooloji,,Hayvanları inceleyen bilim
Okçuluk,,Osmanlı Devleti'nde popüler bir spor
Prematüre,,Zamanından önce doğmuş bebek
Traverten,,Kalkerli ya da silisli tortu
Buzdolabı,,Yiyecek ve içecekleri saklayan soğutucu
Sudan ucuz,,"Adeta bedava gibi, fiyatı çok düşük"
Mütercim,,Yabancı dilden yazılı çeviri yapan kişi
Işıkçı,,Sahne sanatlarında aydınlatmadan sorumlu kişi
Patent,,Bir icadın buluş belgesi
Armoni,,Müzikte birden çok sesin uyumu
Bileği,,Bıçak keskinleştirmekte kullanılan alet
Oğuz atay,,Tutunamayanlar adlı kitabın yazarı
Kalyon,,Yelkenli savaş gemilerinin en büyüğü
Buğday,,Türkiye'de en çok üretilen tarım ürünü
Kırmızı,,Sarı renkle karıştığında turuncuya döner
Erzurum,,Oltu taşı ile ünlü şehir
Sarışınım,,"Sezen Aksu şarkısı, 2004'te Gülşen de söyledi"
Mangal,,Piknikte yemek pişirilen araç
Kara kalem,,Kurşun veya kömür uçla yapılan resim
Benzersiz,,Bir eşi daha bulunmayan
Avatar,,Son hava bükücü
Baytar,,Hayvan doktoru
Bandıra,,Bir geminin ait olduğu ülkeyi gösteren bayrak
Durağan,,"Yerini değiştirmeyen, devinimsiz"
Gayzer,,Yerden fışkırarak çıkan sıcak su kaynağı
Bogota,,Kolombiya'nın başkenti
Bahane,,Gerçek neden gizlenerek ileri sürülen sözde sebep
Kasket,,Önü siperlikli baş aksesuarı
Konvoy,,Bir kutlama için yola çıkmış araba kafilesi
Havacı,,Gökyüzünde görev yapan asker
Demlik,,Çay yapmakta kullanılan bir araç
Aparey,,Ortodonti tedavisinde kullanılan düzenekler
Perhiz,,Sağlık için yapılan diyet
Terazi,,Tartma aracı
Zeytin,,Sizinkiler adlı çizgi seride Limon'un arkadaşı
Ordövr,,Ana yemek öncesi gelen ön yemek
Gevrek,,Bazı yörelerde simit yerine kullanılan kelime
Aseton,,Oje silmeye yarayan kimyasal sıvı
Galata,,"İstanbul, Karaköy'de bulunan tarihi kule"
Köknar,,"Çam ailesinden, kozalaklı ağaç türü"
Bakıcı,,Çocuk ve hastalarla ilgilenmekle görevli kişi
Dirsek,,Boruların dönüş yerlerine takılan dik açılı parça
Retina,,Gözün en iç tabakası
Haldun,,"Türkiye'de epik tiyatronun kurucusu, __ Taner"
Uranüs,,Güneşe yakınlık olarak yedinci sıradaki gezegen
Piknik,,Kırsal alanda yenilen yemek faaliyeti
Ucu bucağı,,"__ yok, nerede bittiği görünmeyen şeylere denir"
Alengirli,,"Anlaşılması güç, tuhaf"
Cengiz han,,Dünyanın en geniş devletini kuran Moğol hükümdar
Karabiber,,En yaygın kullanılan koyu renkli baharat
Sarıkanat,,Çinekopun büyüğü olan lüfer balığı
Desimetre,,Bir metrenin onda biridir
Son dakika,,Televizyonda normal akışı keserek verilen haber
Aile sırrı,,Kan bağına sahip insanlar arasında tutulan gizem
Takimetre,,Hareket halindeki cismin hızını ölçen alet
Isparmaça,,Gemi zincirlerinin denizde birbirine dolanması
Salda gölü,,Türkiye'nin Maldivleri
Telesiyej,,Kayakçıları taşıyan ulaşım aracı
Kornişon,,Küçük salatalık turşusu
Beklenen,,"Cahide Sonku filmi, __ Şarkı"
Şener şen,,Ali Haydar rolüyle İkinci Bahar'da oynadı
Kekremsi,,Tadı buruk olan
Münekkit,,Eleştiri yapan kişi
Tercüman,,Sözlü çevirmen
Transfer,,Bir verinin aktarımı; sporcuların kulüp değişimi
Bumerang,,"Fırlatıldığında, aynı yere geri gelen tahta sopa"
Kodlama,,Bir uygulama veya yazılımı satır satır oluşturma
Kuluçka,,Civciv çıkması için tavuğun yumurta üstüne yatması
Portatif,,Katlanarak taşınabilir duruma hızlıca gelen eşya
Mandıra,,Süt mamullerinin üretildiği yer
Arbitraj,,Borsada yapılan risksiz bir kar etme yöntemi
Akrobat,,Cambaz
Teleskop,,Evreni yakınlaştıran icat
Misafir,,"Atasözüne göre, umduğunu değil, bulduğunu yer"
New york,,ABD'nin Özgürlük Heykeli bu eyalette bulunur
Retorik,,Dinleyeni etkileyen konuşma sanatı
Trompet,,Üç tuşlu nefesli çalgı
Adisyon,,Lokantadaki hesap kağıdı
Dentin,,Diş minelerinin altındaki kemiksi kısım
Kapıcı,,Apartmanın günlük işlerini yapan görevli
Biftek,,Dilimlenip hafifçe dövülmüş dana ya da sığır eti
Parfüm,,Değişik esanslar katılarak yapılan hoş kokulu sıvı
Omurga,,Kafatasından kuyruk sokumuna uzanan kemik dizisi
Jakuzi,,Fokurtulu küçük havuz
Fransa,,Mona Lisa tablosunun bulunduğu ülke
Chanel,,Kurucusunun lakabı Coco olan moda markası
Hasret,,Bir kimseye veya bir yere duyulan derin özlem
Onbaşı,,"Dünya şampiyonu jimnastikçi, Ayşe Begüm __"
Misket,,Ankara havası
Buzağı,,"Annesine bağımlı yaşayan, sütten kesilmemiş inek"
Gammaz,,"Bir sırrı ifşa eden, ispiyoncu"
Saklambaç,,Ebenin gözlerini kapatıp 100'e kadar saydığı oyun
Salatalık,,Adını içine konulduğu yemekten alan yeşil sebze
Tesisatçı,,Temiz ve atık su sistemleri ile uğraşan uzman
Arkeoloji,,Kazı bilimi olarak da bilinen bilim dalı
Troleybüs,,Elektrik akımıyla çalışan telli otobüs
Katavaşya,,Göçebe balıkların kışın Akdeniz'e göçmesi
Andromeda,,Komşu galaksimizin adı
Esperanto,,Ortak kullanım için hazırlanmış yapay bir dil
Dondurucu,,"Derin __, uzun süreli yiyecek koruyucusu"
Nanemolla,,Kolay hastalanan kimse
Tornavida,,Düz ve yıldız çeşitleri olan montaj gereci
Fatih akın,,Altın Ayı ödüllü Türk yönetmen
Oksijen,,Simgesi O olan ve havada bolca bulunan element
Alamana,,Yük taşımakta kullanılan büyük kayık
Medikal,,Tıbbi
Penguen,,"Tek eşli, soğuk deniz kuşu"
Soytarı,,Kralı gülüp eğlendirmekle görevli kimse
Zemheri,,Halk arasında kara kışa verilen isim
Eğlenme,,Neşeli ve hoşca vakit geçirme
Kısayol,,Bir programa hızla erişmek için kullanılan ikon
Meyvesi,,"Sabır acıdır, __ tatlıdır"
Kocaeli,,Pişmaniyesiyle ünlü şehir
Bağlama,,Aşık Veysel'in çalgısı
Sabotaj,,"Bir işi engellemeye çalışma, baltalama"
Semaver,,Kalabalık olunca kullanılan musluklu çaydanlık
Topkapı,,İstanbul Tarihi Yarımada'da yer alan büyük saray
Çernobil,,Nükleer santral felaketi yaşanan Ukrayna kenti
Susurluk,,Tost ve ayranı ile meşhur Balıkesir ilçesi
Saygıner,,"Ünlü bilardocumuz, Semih __"
Ayasofya,,M.S. 532 yılında İstanbul'da inşa edilmiş dev yapı
Labrador,,"Suyu seven, zeki bir av köpeği cinsi"
Ambulans,,Hasta taşıyan araç
Hidrojen,,Oksijen ile birleşerek suyu oluşturan element
Pastırma,,Kayseri ile özdeşleşmiş kuru et
Çiğköfte,,"Etlisi restoran, etsizi sokak yemeğidir"
Platon,,İlk yüksek öğretim kurumunun kurucusu olan filozof
Otomotiv,,Kara taşıtları endüstrisi
Süphan,,Türkiye'nin en yüksek dördüncü dağı
Tasvir,,Edebiyatta betimleme
Editör,,Yayınevinde basılacak kitapları inceleyen kimse
Avanak,,"1995 yapımı Jim Carrey filmi, Salak ile __"
Sandal,,Kürekle kullanılan deniz taşıtı
Lipsos,,"Dikenleri zehirli, eti lezzetli bir Akdeniz balığı"
Bedava,,Ücretsiz
Barcelona,,Bordo mavi formalı İspanyol futbol takımı
Ingiltere,,Magna Carta sözleşmesinin yapıldığı ülke
Prodüktör,,TV ve sinema eserlerinde yapımcı
Kara sevda,,"Ümitsiz görünen, keder veren güçlü aşk"
Emel sayın,,Mavi Boncuk denince akla gelen TSM sanatçısı
Beypazarı,,Havucuyla ünlü Ankara ilçesi
Dörtçeker,,Arazi araçlarında bulunan güç aktarma sistemi
Glasyolog,,Buzul bilimci
Asparagas,,"Uydurma, yalan haber"
Imparator,,Birçok ulusu içinde barındıran devletin hükümdarı
Minyatür,,Resmin bu dalında ışık veya gölgeye yer verilmez
Sağlıklı,,"Hastalığı olmayan, esen"
Sihirbaz,,İllüzyon gösterisi yapan sanatçı
Alınteri,,Bir şeyi yapmak için harcanan emek
Müsvedde,,Taslak haldeki karalama yazı
Ortaklık,,Ticari beklentilerle kurulan iş birliği; şirket
Sabuniye,,Nişastadan yapılan bir tür helva
Mikrofon,,Telefonun ağza yakın bölümü
Oyunları,,"Taht __, Buz ve Ateşin Şarkısı'nın ilk romanı"
Saç bandı,,"Başa takılan, ince uzun kumaştan aksesuar"
Yalnızlık,,"Yüzyıllık __, büyülü gerçeklik akımı romanı"
Emre kınay,,Duru Tiyatro'nun kurucusu olan oyuncu
Subjektif,,"Tarafsız olmayan, kişinin kendi açısından bakan"
Akaryakıt,,Benzin ve mazotun genel adı
Curıosıty,,Mars'ta dolaşan uzay aracı
Mandalina,,Portakalın kardeşi
Düşkapanı,,Kabus görmeyi engellediğine inanılan duvar süsü
Nane limon,,Mide bulantısına iyi gelen bir çay
Makedonya,,Sınırında Ohrid Gölü bulunan ülkelerden biri
Tarator,,Genellikle kalamarın yanında servis edilen sos
Kaşıntı,,Sivrisineğin ciltte yarattığı geçici rahatsızlık
Alaçatı,,Çeşme'ye bağlı ünlü rüzgar sörfü ve turizm merkezi
Tartmak,,Bir şeyin ağırlığını ölçmek
Simetri,,Ortadan çizgi çekildiğinde iki tarafın denkliği
Haberci,,Ulak
Buzhane,,Çok soğuk depo
Kaymağı,,"__ seven, mandayı yanında taşır"
Pelikan,,Torbalı gagası olan iri bir su kuşu
Karakter,,"Bilgisayarda harf, sayı ve işaretlerden her biri"
Alacaklı,,Borçludan ödeme bekleyen kimse
Omurilik,,Beynin omurga içindeki uzantısı
Kamyonet,,Yük taşıyan küçük kara taşıtı
Brezilya,,"Futbol, samba ve karnaval ülkesi"
Muhteşem,,Kanuni Sultan Süleyman'ın Batı dünyasındaki lakabı
Yeşillik,,"Maydanoz, dereotu, roka vb. bitkilere verilen ad"
Aksesuar,,Kıyafetin şıklığını tamamlayan küçük eşya
Floransa,,İtalya'nın sanat şehri
Dardanel,,Çanakkaleli ton balığı üreticisi
Ted mosby,,How I Met Your Mother dizisinin esas oğlanı
Meridyen,,İki kutup noktası arasında yer alan çizgiler
Kaşkaval,,Kaşara benzer bir peynir türü
Ortopedi,,"Kemik, eklem ve kaslarla ilgilenen cerrahi kol"
Hafriyat,,Bir inşaatın kazı işlerinin tümü
Erteleme,,Alarmı kısa süre sonra çalacak şekilde geciktirme
Elbise,,Uzun ya da kısa etekli tek parça kıyafet
Siftah,,Günün ilk kazancı
Makara,,"İplik sarmaya yarayan, silindir biçimli nesne"
Bünyamin,,"__ Sürmeli, Havayı Koklayan Adam lakaplı sunucu"
Konsol,,Duvar kenarına koyulan çekmeceli mobilya
Çelebi,,"Evliya __, Seyahatname'yi yazan gezgin"
Fayton,,Gezmek için kullanılan at arabası
Karpuz,,"Dışı yeşil kabuklu, içi kırmızı ve sulu bir meyve"
Panama,,Amerika kıtalarını birbirinden ayıran kanal
Gençlik,,19 Mayıs __ ve Spor Bayramı
Karides,,Kokteyli de yapılan kabuklu bir deniz canlısı
Iltimas,,Birine tanınan genellikle haksız ayrıcalık
Ananevi,,Geleneksel
Aborjin,,Avustralya'nın yerli halkından olan kişi
Üroloji,,Böbrek ve idrar yolları hastalıklarına bakan bölüm
Torpido,,Arabaların ön kısmında bulunan dolap
Düdüklü,,Yemeği sağlıklı biçimde pişiren sesli tencere
Emlakçı,,Gayrimenkul aracılığı yapan kişi
Menemen,,"Yumurta, domates ve biber ile yapılan bir yemek"
Hababam,,Rıfat Ilgaz'ın hiç yaşlanmayan sınıfı
Gözyaşı,,Ağlarken yanaklara doğru akan sıvı
Nazilli,,Pidesi ve kar helvasıyla meşhur Aydın ilçesi
Satranç,,Kareli bir zeminde yapılan zihin ve strateji sporu
Izlenme,,"Reyting, bunun oranını ölçer"
Cephane,,Her türlü patlayıcı mühimmat
Son şans,,Başarılı olmak için elde kalan nihai fırsat
Dolunay,,Ay'ın tam bir daire olarak görünmesi
Sataşma,,Kavga çıkarmak için el ya da sözle müdahale etme
Avusturya,,Kelime anlamı Doğu İmparatorluğu olan ülke
Hamburger,,Yuvarlak köfteli ve ekmekli sandviç
Siyah kuğu,,Natalie Portman'ın bir balerini canlandırdığı film
Dargınlık,,Masum husumet; küslük
Rezervuar,,Tuvaletin su deposu
Inek şaban,,Kemal Sunal’ın Hababam Sınıfı’ndaki karakteri
Fotojenik,,Fotoğrafta güzel çıkan kişi
Beyaz cüce,,"Kütlesi Güneş, hacmi Dünya kadar olan ölü yıldız"
Çaydanlık,,"Alt katında su kaynar, üst katı demliktir"
Amortisör,,Araçlarda sarsıntıyı önleyen süspansiyon parçası
Ferman,,Yazılı padişah buyruğu
Egoist,,Benmerkezci
Termos,,İçine konulan sıvının ısı düzeyini koruyan kap
Libero,,Voleybolda farklı renkte forma giyen oyuncu
Düldül,,Red Kit'in atı
Akarsu,,"Dere, çay ve nehir gibi su akıntılarının genel adı"
Amiral,,Deniz paşası
Neşter,,"Ameliyat bıçağı, bisturi"
Düello,,Kovboy atışması
